strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,InstrumentTye
7500,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022PE7500.00,22.0,0,0.0,0,0.0,0.0,0.0,0.0,1950,0,750,0.8,0,0.0,17016.3,PE
8500,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022PE8500.00,2253.0,0,0.0,0,0.0,0.0,0.0,0.0,4650,0,750,1.45,0,0.0,17016.3,PE
8700,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022PE8700.00,2250.5,0,0.0,0,0.0,0.0,0.0,0.0,750,0,750,0.05,0,0.0,17016.3,PE
9000,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022PE9000.00,7656.5,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,600,3.05,0,0.0,17016.3,PE
9500,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022PE9500.00,2334.5,0,0.0,0,0.0,0.0,0.0,0.0,2850,0,1050,3.05,0,0.0,17016.3,PE
9700,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022PE9700.00,61.5,0,0.0,0,0.0,0.0,0.0,0.0,750,0,750,0.05,0,0.0,17016.3,PE
9900,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022PE9900.00,0.5,0,0.0,0,0.0,0.0,0.0,0.0,750,0,750,0.05,0,0.0,17016.3,PE
10000,24-Jun-2027,NIFTY,OPTIDXNIFTY24-06-2027PE10000.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3200,0,750,1.05,0,0.0,17016.3,PE
10000,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022PE10000.00,4546.0,0,0.0,0,0.0,0.0,0.0,0.0,7100,0,5300,3.05,0,0.0,17016.3,PE
10000,29-Sep-2022,NIFTY,OPTIDXNIFTY29-09-2022PE10000.00,13500.0,3720,38.03680981595092,9024,170.88,0.1,-0.19999999999999998,-66.66666666666666,222900,209250,154250,0.1,5350,0.15,17016.3,PE
10000,29-Sep-2022,NIFTY,OPTIDXNIFTY29-09-2022CE10000.00,48.0,-25,-34.24657534246575,29,253.59,7040.0,-264.4499999999998,-3.6203957861303704,3300,6050,1500,6998.25,1500,7066.75,17016.3,CE
10000,29-Jun-2023,NIFTY,OPTIDXNIFTY29-06-2023PE10000.00,1754.0,0,0.0,0,0.0,0.0,0.0,0.0,1900,0,100,4.5,0,0.0,17016.3,PE
10500,29-Jun-2023,NIFTY,OPTIDXNIFTY29-06-2023PE10500.00,3004.5,0,0.0,5,27.51,10.1,-59.9,-85.57142857142857,2550,0,750,1.3,0,0.0,17016.3,PE
10500,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022PE10500.00,6167.5,0,0.0,0,0.0,0.0,0.0,0.0,5500,0,3700,3.05,0,0.0,17016.3,PE
10900,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022PE10900.00,1.5,0,0.0,0,0.0,0.0,0.0,0.0,750,0,750,0.05,0,0.0,17016.3,PE
11000,28-Dec-2023,NIFTY,OPTIDXNIFTY28-12-2023PE11000.00,3.5,0,0.0,4,30.03,84.0,33.95,67.83216783216784,2950,0,200,78.05,0,0.0,17016.3,PE
11000,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024PE11000.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2550,0,750,1.75,0,0.0,17016.3,PE
11000,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024PE11000.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2550,200,750,1.75,150,238.0,17016.3,PE
11000,26-Jun-2025,NIFTY,OPTIDXNIFTY26-06-2025PE11000.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2550,0,750,2.3,0,0.0,17016.3,PE
11000,24-Dec-2025,NIFTY,OPTIDXNIFTY24-12-2025PE11000.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2600,200,750,3.05,150,367.0,17016.3,PE
11000,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026PE11000.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2650,0,750,3.05,0,0.0,17016.3,PE
11000,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026PE11000.00,4.0,0,0.0,0,0.0,0.0,0.0,0.0,3100,200,750,136.3,50,465.95,17016.3,PE
11000,24-Jun-2027,NIFTY,OPTIDXNIFTY24-06-2027PE11000.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2800,200,750,72.05,50,495.95,17016.3,PE
11000,29-Sep-2022,NIFTY,OPTIDXNIFTY29-09-2022PE11000.00,7186.0,2383,49.61482406829065,5159,144.71,0.15,-0.19999999999999998,-57.14285714285714,175800,138650,32800,0.15,48750,0.2,17016.3,PE
11000,29-Sep-2022,NIFTY,OPTIDXNIFTY29-09-2022CE11000.00,13970.0,-3,-0.021469977814356257,20,0.0,6000.8,-327.34999999999945,-5.172917835386321,7800,4600,1500,5997.55,50,6042.25,17016.3,CE
11000,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022CE11000.00,233.0,0,0.0,0,0.0,0.0,0.0,0.0,50,450,50,6048.15,100,6222.75,17016.3,CE
11000,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022PE11000.00,969.5,-5,-0.513083632632119,50,42.82,17.5,3.0999999999999996,21.527777777777775,11800,3850,650,15.25,300,17.5,17016.3,PE
11000,29-Jun-2023,NIFTY,OPTIDXNIFTY29-06-2023PE11000.00,5630.0,0,0.0,0,0.0,0.0,0.0,0.0,1850,0,50,20.95,0,0.0,17016.3,PE
11000,30-Mar-2023,NIFTY,OPTIDXNIFTY30-03-2023PE11000.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9200,0,6900,4.2,0,0.0,17016.3,PE
