strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,InstrumentTye
25500,29-Sep-2022,BANKNIFTY,OPTIDXBANKNIFTY29-09-2022PE25500.00,31602,27875,747.9205795546015,86435,162.38,3.2,0.9500000000000002,42.22222222222223,77375,22325,525,3.2,1475,3.45,38616.25,PE
25500,29-Sep-2022,BANKNIFTY,OPTIDXBANKNIFTY29-09-2022CE25500.00,5,0,0.0,0,0.0,0.0,0.0,0.0,3425,3925,750,13106.7,1000,13292.65,38616.25,CE
25500,29-Dec-2022,BANKNIFTY,OPTIDXBANKNIFTY29-12-2022PE25500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,2125,0,900,7.65,0,0.0,38616.25,PE
25500,29-Jun-2023,BANKNIFTY,OPTIDXBANKNIFTY29-06-2023PE25500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1200,0,1200,0.7,0,0.0,38616.25,PE
25500,30-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY30-03-2023PE25500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1275,0,1200,1.7,0,0.0,38616.25,PE
27000,29-Dec-2022,BANKNIFTY,OPTIDXBANKNIFTY29-12-2022PE27000.00,8,0,0.0,0,0.0,0.0,0.0,0.0,2100,0,900,26.3,0,0.0,38616.25,PE
27000,30-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY30-03-2023PE27000.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1275,0,1200,2.25,0,0.0,38616.25,PE
27000,29-Sep-2022,BANKNIFTY,OPTIDXBANKNIFTY29-09-2022PE27000.00,2119,1265,148.12646370023418,25125,142.75,3.75,1.25,50.0,40325,35600,1000,3.1,375,3.75,38616.25,PE
27000,29-Sep-2022,BANKNIFTY,OPTIDXBANKNIFTY29-09-2022CE27000.00,150,0,0.0,0,0.0,0.0,0.0,0.0,3425,5100,750,11607.9,1000,11796.5,38616.25,CE
27000,29-Jun-2023,BANKNIFTY,OPTIDXBANKNIFTY29-06-2023PE27000.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1200,0,1200,1.7,0,0.0,38616.25,PE
27500,27-Oct-2022,BANKNIFTY,OPTIDXBANKNIFTY27-10-2022PE27500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,15475,0,900,1.05,0,0.0,38616.25,PE
27500,27-Oct-2022,BANKNIFTY,OPTIDXBANKNIFTY27-10-2022CE27500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1675,1675,500,10910.4,500,11755.85,38616.25,CE
28000,27-Oct-2022,BANKNIFTY,OPTIDXBANKNIFTY27-10-2022CE28000.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1675,2175,500,10317.0,500,11304.3,38616.25,CE
28000,27-Oct-2022,BANKNIFTY,OPTIDXBANKNIFTY27-10-2022PE28000.00,2,0,0.0,0,0.0,0.0,0.0,0.0,6400,0,900,3.05,0,0.0,38616.25,PE
28500,30-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY30-03-2023PE28500.00,3,0,0.0,0,0.0,0.0,0.0,0.0,1250,0,1200,0.7,0,0.0,38616.25,PE
28500,29-Jun-2023,BANKNIFTY,OPTIDXBANKNIFTY29-06-2023PE28500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1200,0,1200,2.25,0,0.0,38616.25,PE
28500,27-Oct-2022,BANKNIFTY,OPTIDXBANKNIFTY27-10-2022PE28500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,24000,0,1500,3.05,0,0.0,38616.25,PE
28500,27-Oct-2022,BANKNIFTY,OPTIDXBANKNIFTY27-10-2022CE28500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1675,1675,500,9878.1,1175,10900.2,38616.25,CE
28500,29-Sep-2022,BANKNIFTY,OPTIDXBANKNIFTY29-09-2022PE28500.00,2581,-17793,-87.33189358986944,48261,122.56,3.3,0.75,29.411764705882355,72525,24900,200,2.8,275,3.3,38616.25,PE
